seq,xcol, ycol
627,0.0, 3848.1553
628,901.7893, 433.1578
629,3139.8494, 5655.492
630,1654.4875, 5697.298
631,3147.5928, 1068.6688
632,1625.0729, 934.6599
633,2502.195, 4787.475
634,3664.7622, 6734.123
635,632.73724, 4712.1826
636,2451.2815, 5725.5435
637,1121.892, 3079.8235
638,1675.8486, 5556.4487
639,1587.567, 5003.261
640,1271.6162, 6256.708
641,709.70715, 819.53455
642,1893.0596, 4913.665
643,0.0, 4657.0967
644,1630.4247, 826.3932
645,559.83093, 617.6103
646,0.0, 616.235
647,570.8391, 612.10895
648,1181.8553, 2412.139
649,0.0, 2847.1418
650,3916.5205, 5432.4683
651,3498.8738, 6186.768
652,1342.162, 4305.276
653,2180.5457, 874.3831
654,1162.7861, 485.49615
655,3138.8794, 6119.822
656,698.71576, 881.23584
657,0.0, 577.7186
658,2505.811, 5287.0664
659,0.0, 603.8564
660,2108.8853, 866.1588
661,0.0, 459.32977
662,2117.8777, 4740.5273
663,328.41837, 933.29065
664,5402.831, 1548.6444
665,1641.1233, 3956.327
666,1902.2512, 6039.922
667,1075.4958, 916.85736
668,0.0, 507.52646
669,0.0, 3542.577
670,0.0, 1954.6328
671,3841.1765, 2844.9485
672,437.2906, 448.31067
673,1572.8124, 841.47955
674,4271.4497, 5892.0186
675,2037.9049, 3860.8286
676,0.0, 6019.9873
677,5023.675, 1287.9104
678,2760.3882, 5659.48
679,288.43225, 662.9836
680,1745.079, 5108.3896
681,3136.938, 5388.205
682,1643.797, 5529.012
683,1112.344, 5099.2065
684,0.0, 936.0291
685,1567.4442, 811.30334
686,4407.5303, 959.3002
687,1091.8767, 4706.496
688,682.2259, 4788.201
689,189.11499, 415.24753
690,662.9836, 422.13638
691,1075.4958, 4401.3813
692,0.0, 485.49615
693,772.878, 419.3809
694,418.0031, 853.8204
695,42.80608, 920.9661
696,1486.7545, 5119.662
697,734.4324, 380.79794
698,671.23083, 5560.953
699,3280.024, 5927.01
700,2402.3076, 823.64984
701,1278.4065, 4685.5947
702,0.0, 1726.4702
703,2052.1458, 507.52646
704,1071.3998, 720.6971
705,489.62717, 3501.987
706,994.8715, 1952.0197
707,451.06552, 735.8058
708,0.0, 590.1005
709,0.0, 1906.1882
710,2486.4937, 1887.804
711,158.75735, 2758.1318
712,62.135426, 1011.2807
713,0.0, 3952.68
714,0.0, 419.3809
715,3873.3472, 6333.0303
716,1623.7347, 3911.633
717,1630.4247, 3625.1172
718,1146.4335, 6303.7954
719,2028.8312, 4669.0205
720,0.0, 6220.2935
721,2929.2407, 5305.8364
722,0.0, 5828.546
723,1722.4796, 905.8992
724,2818.498, 1009.9135
725,1821.9183, 3770.5981
726,1060.4749, 2843.851
727,706.9595, 511.65668
728,1467.884, 495.13495
729,2965.1611, 5445.118
730,0.0, 1061.8406
731,6517.5596, 7368.558
732,1110.9797, 594.2275
733,0.0, 654.7356
734,1173.684, 5969.2114
735,5607.444, 2076.6917
736,671.23083, 5256.7197
737,1576.8374, 5903.224
738,3654.455, 6414.937
739,338.06863, 831.8795
740,959.3002, 3292.5652
741,1239.003, 2037.9049
742,4167.367, 5294.1167
743,4646.5254, 6608.78
